x,y
-183.80003356933594,80.20000457763672
-183.80030822753906,79.65316772460938
-183.80067443847656,78.9281005859375
-183.80120849609375,78.11731719970703
-183.8018341064453,77.096923828125
-183.8028106689453,75.86647033691406
-183.80406188964844,74.46944427490234
-183.80560302734375,72.88971710205078
-183.80747985839844,71.17595672607422
-183.80978393554688,69.26957702636719
-183.8131561279297,66.76244354248047
-183.81637573242188,64.57596588134766
-183.8201446533203,62.24091720581055
-183.8243865966797,59.78763198852539
-183.82931518554688,57.17136764526367
-183.83604431152344,53.847816467285156
-183.8423614501953,50.96610641479492
-183.84947204589844,47.931697845458984
-183.8575897216797,44.65648651123047
-183.86630249023438,41.37314987182617
-183.87628173828125,37.81289291381836
-183.88925170898438,33.482322692871094
-183.90138244628906,29.659069061279297
-183.9147491455078,25.669628143310547
-183.9290313720703,21.595468521118164
-183.94393920898438,17.571409225463867
-183.95985412597656,13.454374313354492
-183.9811248779297,8.214786529541016
-184.0002899169922,3.710904359817505
-184.02520751953125,-1.8751816749572754
-184.04653930664062,-6.4604339599609375
-184.06991577148438,-11.291801452636719
-184.09426879882812,-16.13814353942871
-184.1203155517578,-21.141759872436523
-184.15240478515625,-27.074676513671875
-184.18109130859375,-32.18939971923828
-184.2108917236328,-37.337486267089844
-184.2435760498047,-42.801048278808594
-184.2810516357422,-48.86802291870117
-184.3229217529297,-55.38065719604492
-184.36453247070312,-61.4564094543457
-184.41102600097656,-67.79261779785156
-184.4628143310547,-74.36988067626953
-184.52659606933594,-82.04801940917969
-184.57720947265625,-88.05500793457031
-184.63331604003906,-94.90721130371094
-184.68112182617188,-101.27020263671875
-184.72015380859375,-107.26907348632812
-184.74546813964844,-111.86569213867188
-184.7644805908203,-116.05411529541016
-184.78038024902344,-120.64473724365234
-184.7899932861328,-124.3660888671875
-184.7974395751953,-127.95057678222656
-184.80325317382812,-131.4040985107422
-184.80923461914062,-135.35012817382812
-184.8144073486328,-139.20704650878906
-184.81942749023438,-143.11166381835938
-184.80740356445312,-147.10946655273438
-184.58160400390625,-151.2841033935547
-184.21299743652344,-155.55810546875
-183.8592071533203,-159.08453369140625
-183.4017791748047,-163.49012756347656
-182.9329071044922,-167.98727416992188
-182.38145446777344,-172.69366455078125
-181.83004760742188,-176.65603637695312
-180.9779815673828,-181.23228454589844
-179.9589385986328,-185.04241943359375
-178.72830200195312,-188.6383514404297
-177.3160858154297,-192.28707885742188
-175.81536865234375,-196.019775390625
-174.231689453125,-199.92811584472656
-172.65792846679688,-203.8134307861328
-171.0609893798828,-207.76263427734375
-169.34754943847656,-212.0060272216797
-167.62982177734375,-216.26470947265625
-165.8944854736328,-220.57058715820312
-164.1809539794922,-224.82522583007812
-161.97369384765625,-230.3099822998047
-160.10340881347656,-234.96075439453125
-158.21011352539062,-239.6718292236328
-156.23789978027344,-244.58253479003906
-153.84088134765625,-250.5554962158203
-151.8248748779297,-255.58274841308594
-149.69940185546875,-260.88671875
-147.16847229003906,-267.2073669433594
-145.06288146972656,-272.4697265625
-143.05311584472656,-277.98193359375
-141.26292419433594,-284.15435791015625
-140.27450561523438,-288.9769592285156
-139.656982421875,-293.9949035644531
-139.52259826660156,-299.63702392578125
-139.8549346923828,-304.4369201660156
-140.29673767089844,-308.0970153808594
-140.78016662597656,-311.5282287597656
-141.3259735107422,-315.1133117675781
-141.79112243652344,-317.80657958984375
-142.24635314941406,-320.47161865234375
-142.65692138671875,-323.0595703125
-143.08154296875,-325.8096008300781
-143.58555603027344,-329.1574401855469
-144.0823211669922,-332.5003967285156
-144.61434936523438,-336.0130920410156
-145.15599060058594,-339.1361999511719
-145.91409301757812,-342.8049011230469
-146.85751342773438,-346.42059326171875
-148.10211181640625,-350.2980041503906
-149.52757263183594,-354.2973327636719
-151.0878448486328,-358.40924072265625
-152.5553436279297,-361.94647216796875
